DATE_PST,Vancouver_Clark_Drive_PM25,Vancouver_International_Airport_#2_PM25,North_Vancouver_Mahon_Park_PM25,North_Vancouver_Second_Narrows_PM25
2016-01-01 01:00:00,30.557,22.71692,22.79887,
2016-01-01 02:00:00,34.661,21.9502,22.90909,6.341111
2016-01-01 03:00:00,35.419,21.25953,19.85773,5.340278
2016-01-01 04:00:00,24.335,19.93333,13.57599,3.907917
2016-01-01 05:00:00,29.336,19.07922,7.079589,7.235889
2016-01-01 06:00:00,22.691,20.21183,4.380784,8.779139
2016-01-01 07:00:00,12.447,17.28745,4.601478,4.66075
2016-01-01 08:00:00,12.126,13.12956,2.680728,1.663167
2016-01-01 09:00:00,8.763,15.05243,3.673933,2.977889
2016-01-01 10:00:00,12.078,13.58631,5.550967,3.764583
2016-01-01 11:00:00,12.528,11.49239,5.447233,2.068
2016-01-01 12:00:00,18.879,18.54019,11.50734,2.672611
2016-01-01 13:00:00,13.904,11.25828,17.80708,3.15303
2016-01-01 14:00:00,12.252,6.757278,15.08945,3.389222
2016-01-01 15:00:00,4.933,6.494611,13.11399,3.990278
2016-01-01 16:00:00,4.196,3.245667,8.451817,4.674333
2016-01-01 17:00:00,7.827,1.597735,5.209461,7.113028
2016-01-01 18:00:00,16.743,1.884778,13.72195,13.31653
2016-01-01 19:00:00,29.069,13.53256,19.1011,10.57089
2016-01-01 20:00:00,27.608,18.27844,16.64286,8.884945
2016-01-01 21:00:00,30.924,21.51475,24.19118,7.863209
2016-01-01 22:00:00,30.648,24.73761,20.32757,10.00981
2016-01-01 23:00:00,31.725,21.79814,21.84486,8.119638
2016-01-02 00:00:00,30.604,21.55983,18.1263,5.769222
2016-01-02 01:00:00,24.209,16.38068,17.66184,5.632611
2016-01-02 02:00:00,18.062,12.52225,6.401906,4.450806
2016-01-02 03:00:00,12.241,14.23283,8.162289,3.986722
2016-01-02 04:00:00,9.648,14.37053,4.569872,2.366444
2016-01-02 05:00:00,8.438,12.32944,2.861767,2.118695
2016-01-02 06:00:00,6.014,8.702056,2.320172,2.813333
2016-01-02 07:00:00,6.137,6.532195,3.057067,5.02175
2016-01-02 08:00:00,8.035,6.134861,3.989406,6.10775
2016-01-02 09:00:00,9.27,8.044401,7.558328,8.014167
2016-01-02 10:00:00,13.897,9.322945,10.35364,11.94125
2016-01-02 11:00:00,13.505,13.012,7.297922,11.57053
2016-01-02 12:00:00,15.487,18.16103,8.974661,15.37956
2016-01-02 13:00:00,20.074,25.96689,12.04375,17.01943
2016-01-02 14:00:00,29.8,16.90492,17.01147,19.5013
2016-01-02 15:00:00,28.153,4.458361,20.38158,20.49656
2016-01-02 16:00:00,24.58,3.043,13.68957,15.175
2016-01-02 17:00:00,35.211,2.467185,7.490928,13.02664
2016-01-02 18:00:00,24.147,8.176833,8.570911,10.21319
2016-01-02 19:00:00,18.183,28.8655,16.16613,4.793806
2016-01-02 20:00:00,15.257,19.91028,16.80402,6.255944
2016-01-02 21:00:00,12.584,23.87336,27.99097,7.869667
2016-01-02 22:00:00,11.476,16.777,35.19808,6.169077
2016-01-02 23:00:00,12.35,18.51539,25.96039,5.789633
2016-01-03 00:00:00,11.177,17.21747,25.30778,6.313833
2016-01-03 01:00:00,8.366,13.04599,16.86106,6.733333
2016-01-03 02:00:00,7.131,13.53486,15.39902,4.740833
2016-01-03 03:00:00,7.771,14.66114,12.82099,3.261222
2016-01-03 04:00:00,5.585,11.46725,7.628572,3.99375
2016-01-03 05:00:00,6.915,13.67733,5.534767,4.885389
2016-01-03 06:00:00,8.258,13.291,4.855145,5.324389
2016-01-03 07:00:00,5.72,10.62181,3.889833,3.925778
2016-01-03 08:00:00,6.517,10.00433,4.024822,4.073916
2016-01-03 09:00:00,8.369,7.213495,6.165645,5.334528
2016-01-03 10:00:00,7.979,9.200222,6.860705,3.882833
2016-01-03 11:00:00,13.741,11.22522,4.472828,6.815805
2016-01-03 12:00:00,16.476,13.28242,7.612678,4.838806
2016-01-03 13:00:00,18.471,12.49164,13.94839,7.003471
2016-01-03 14:00:00,11.931,2.338389,13.19669,10.00906
2016-01-03 15:00:00,3.206,1.504417,5.981417,8.322889
2016-01-03 16:00:00,6.084,1.811083,9.381406,7.589111
2016-01-03 17:00:00,14.392,7.91411,10.82441,8.316334
2016-01-03 18:00:00,17.816,19.34475,9.716856,10.33669
2016-01-03 19:00:00,18.555,21.09711,9.846822,9.364305
2016-01-03 20:00:00,18.101,18.15903,4.945389,10.22325
2016-01-03 21:00:00,18.701,22.2802,6.888378,8.827917
2016-01-03 22:00:00,16.934,15.32914,14.56294,6.922194
2016-01-03 23:00:00,15.519,8.956166,12.84144,7.059834
2016-01-04 00:00:00,17.119,2.934444,10.14646,3.526917
2016-01-04 01:00:00,13.299,7.138576,7.624722,6.595333
2016-01-04 02:00:00,13.0,16.65622,5.472816,5.632361
2016-01-04 03:00:00,11.964,15.19175,4.12045,3.816111
2016-01-04 04:00:00,11.049,16.38206,2.945889,2.635806
2016-01-04 05:00:00,11.232,15.41211,1.460367,1.600417
2016-01-04 06:00:00,9.842,14.74739,2.071455,1.585139
2016-01-04 07:00:00,13.163,16.57889,5.197206,3.178667
2016-01-04 08:00:00,13.181,13.937,5.634278,6.587945
2016-01-04 09:00:00,8.397,13.68971,3.715741,5.304417
2016-01-04 10:00:00,9.546,5.05,4.574903,4.839611
2016-01-04 11:00:00,12.648,3.907444,6.486595,6.469389
2016-01-04 12:00:00,11.596,3.697111,6.25305,7.124278
2016-01-04 13:00:00,8.032,1.658389,6.097378,7.869689
2016-01-04 14:00:00,5.037,1.306222,5.259995,12.20392
2016-01-04 15:00:00,4.933,1.374694,2.334828,13.95806
2016-01-04 16:00:00,15.667,1.334333,9.075723,14.269
2016-01-04 17:00:00,24.332,1.532459,21.11758,17.44522
2016-01-04 18:00:00,32.279,10.04503,22.01921,17.52403
2016-01-04 19:00:00,30.064,33.27572,25.78822,13.2845
2016-01-04 20:00:00,30.268,32.38472,14.4086,9.797778
2016-01-04 21:00:00,24.681,33.10964,11.78654,6.077722
2016-01-04 22:00:00,,32.11886,7.371239,5.781055
2016-01-04 23:00:00,,30.80831,9.997672,4.012785
2016-01-05 00:00:00,,28.82895,6.05,5.203166
2016-01-05 01:00:00,,19.0712,3.279305,6.365056
2016-01-05 02:00:00,,12.93092,1.948106,5.621917
2016-01-05 03:00:00,,9.809667,3.347433,3.312417
2016-01-05 04:00:00,,9.234138,1.652417,2.38775
2016-01-05 05:00:00,,11.40172,1.582561,1.353694
2016-01-05 06:00:00,,8.107833,3.49645,1.130806
2016-01-05 07:00:00,8.5,2.793944,3.853617,2.338667
2016-01-05 08:00:00,6.286,5.389444,4.211555,3.937417
2016-01-05 09:00:00,,12.44097,4.581594,5.328805
2016-01-05 10:00:00,,13.85472,4.441151,7.522056
2016-01-05 11:00:00,6.65,15.98269,4.709055,7.799889
2016-01-05 12:00:00,,7.112472,7.476972,12.81431
2016-01-05 13:00:00,,3.22675,8.795122,9.000727
2016-01-05 14:00:00,,8.038917,8.429294,11.79364
2016-01-05 15:00:00,,12.63447,7.879039,10.14706
2016-01-05 16:00:00,,15.61817,8.900561,12.32744
2016-01-05 17:00:00,,14.36686,10.03301,12.12836
2016-01-05 18:00:00,,18.29308,12.75588,10.66964
2016-01-05 19:00:00,,17.99828,7.775189,10.6295
2016-01-05 20:00:00,24.048,11.50603,9.254955,12.856
2016-01-05 21:00:00,,5.980778,11.2125,14.81575
2016-01-05 22:00:00,,12.90558,12.33981,9.718889
2016-01-05 23:00:00,,13.55497,10.54472,9.398749
2016-01-06 00:00:00,,10.76383,6.115172,9.408167
2016-01-06 01:00:00,,9.776829,5.636689,7.816833
2016-01-06 02:00:00,,12.95114,6.529128,7.601361
2016-01-06 03:00:00,,14.66119,7.235381,8.414639
2016-01-06 04:00:00,,13.66219,10.13536,8.036195
2016-01-06 05:00:00,,11.34311,11.40975,8.448195
2016-01-06 06:00:00,,9.346694,8.575833,10.37106
2016-01-06 07:00:00,,10.47292,7.144817,9.978583
2016-01-06 08:00:00,,10.68572,6.17045,10.06192
2016-01-06 09:00:00,12.123,9.267767,3.390605,8.194445
2016-01-06 10:00:00,,11.64311,0.775989,4.236166
2016-01-06 11:00:00,,10.785,4.658256,4.5175
2016-01-06 12:00:00,18.074,7.684805,5.409739,13.17442
2016-01-06 13:00:00,14.475,3.274972,9.3493,12.53887
2016-01-06 14:00:00,12.774,3.377333,11.84868,14.8665
2016-01-06 15:00:00,7.261,3.906806,10.25878,8.315278
2016-01-06 16:00:00,5.756,3.156,4.109933,3.05125
2016-01-06 17:00:00,5.064,2.707799,2.855644,3.588917
2016-01-06 18:00:00,7.348,3.320639,5.49115,3.797083
2016-01-06 19:00:00,11.382,3.406306,6.125122,6.058222
2016-01-06 20:00:00,13.86,2.781972,5.907644,3.586555
2016-01-06 21:00:00,16.306,3.235222,11.59918,2.970583
2016-01-06 22:00:00,17.284,7.093139,10.51736,9.324722
2016-01-06 23:00:00,15.798,16.57906,12.19978,2.686889
2016-01-07 00:00:00,13.566,16.97692,10.23949,1.648889
2016-01-07 01:00:00,13.931,10.66645,7.783817,2.064028
2016-01-07 02:00:00,12.574,10.44939,4.4741,1.154389
2016-01-07 03:00:00,10.008,10.76297,4.355583,0.957556
2016-01-07 04:00:00,8.285,8.92875,4.354067,1.050722
2016-01-07 05:00:00,7.088,8.954528,2.95575,1.801833
2016-01-07 06:00:00,6.356,7.458806,2.351856,1.792694
2016-01-07 07:00:00,11.001,7.522278,1.958506,1.355111
2016-01-07 08:00:00,12.317,7.638167,1.837844,2.949944
2016-01-07 09:00:00,16.408,11.06078,5.886472,3.937639
2016-01-07 10:00:00,21.444,,5.923133,7.105055
2016-01-07 11:00:00,19.457,8.880417,12.38232,15.73267
2016-01-07 12:00:00,16.794,2.567639,26.2673,20.00181
2016-01-07 13:00:00,16.384,2.407222,23.73417,20.23641
2016-01-07 14:00:00,12.6,1.414528,15.85,18.8112
2016-01-07 15:00:00,7.934,1.697889,8.968966,13.23169
2016-01-07 16:00:00,4.659,2.006611,4.396706,12.71642
2016-01-07 17:00:00,6.163,2.224304,9.071889,12.19017
2016-01-07 18:00:00,17.914,2.099056,12.27644,8.741333
2016-01-07 19:00:00,18.038,5.565084,8.941228,7.477806
2016-01-07 20:00:00,22.326,4.01025,8.343889,4.41375
2016-01-07 21:00:00,23.99,9.195778,8.276028,3.281917
2016-01-07 22:00:00,24.21,34.39008,8.796638,2.925972
2016-01-07 23:00:00,21.954,29.39797,9.659289,2.042056
2016-01-08 00:00:00,16.38,22.72206,6.718672,2.205694
2016-01-08 01:00:00,17.42,21.3911,3.458889,1.998861
2016-01-08 02:00:00,16.163,23.35025,2.9359,2.405944
2016-01-08 03:00:00,12.788,22.36756,3.098389,2.201111
2016-01-08 04:00:00,10.993,22.26728,3.022428,4.866333
2016-01-08 05:00:00,10.192,21.65467,2.414261,3.768167
2016-01-08 06:00:00,9.905,17.841,2.9483,3.215806
2016-01-08 07:00:00,11.247,14.62164,4.417478,1.996583
2016-01-08 08:00:00,9.197,13.18564,4.818789,3.698694
2016-01-08 09:00:00,7.572,13.04693,3.931144,4.782139
2016-01-08 10:00:00,8.264,10.16153,5.461739,4.979583
2016-01-08 11:00:00,6.794,10.70044,4.398467,10.33256
2016-01-08 12:00:00,8.086,10.71014,4.396578,9.862667
2016-01-08 13:00:00,8.214,11.20836,6.389894,9.770852
2016-01-08 14:00:00,9.914,9.989583,6.658611,9.642056
2016-01-08 15:00:00,8.975,8.291111,11.30529,3.483833
2016-01-08 16:00:00,9.175,13.33192,10.55086,3.515306
2016-01-08 17:00:00,11.94,13.31735,6.705044,2.56
